HEAT: 	INITIALIZED
2023-10-26 23:52:51.230811	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:52:54.282051	FAN -> 	Temperature=17.0°, Humidity=97.7%
2023-10-26 23:52:54.283202	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:52:54.283345	FAN :	Waiting for 1 minute before next check
2023-10-26 23:53:51.756355	HEAT-> 	Temperature=17.0°, Humidity=97.7%
2023-10-26 23:53:51.756637	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:53:54.808863	FAN -> 	Temperature=17.0°, Humidity=97.7%
2023-10-26 23:53:54.809166	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:53:54.809290	FAN :	Waiting for 1 minute before next check
2023-10-26 23:54:52.281436	HEAT-> 	Temperature=17.0°, Humidity=97.7%
2023-10-26 23:54:52.281592	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:54:55.334148	FAN -> 	Temperature=17.0°, Humidity=97.7%
2023-10-26 23:54:55.334349	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:54:55.334398	FAN :	Waiting for 1 minute before next check
2023-10-26 23:55:52.807030	HEAT-> 	Temperature=17.0°, Humidity=97.7%
2023-10-26 23:55:52.807333	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:55:55.859862	FAN -> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:55:55.860171	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:55:55.860294	FAN :	Waiting for 1 minute before next check
2023-10-26 23:56:53.332836	HEAT-> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:56:53.333162	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:56:56.386089	FAN -> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:56:56.386398	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:56:56.386520	FAN :	Waiting for 1 minute before next check
2023-10-26 23:57:53.858655	HEAT-> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:57:53.859063	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:57:56.912178	FAN -> 	Temperature=17.0°, Humidity=97.6%
2023-10-26 23:57:56.912498	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:57:56.912620	FAN :	Waiting for 1 minute before next check
2023-10-26 23:58:54.384633	HEAT-> 	Temperature=17.0°, Humidity=97.5%
2023-10-26 23:58:54.384926	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:58:57.438182	FAN -> 	Temperature=17.1°, Humidity=97.5%
2023-10-26 23:58:57.438490	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:58:57.438612	FAN :	Waiting for 1 minute before next check
2023-10-26 23:59:54.909848	HEAT-> 	Temperature=17.1°, Humidity=97.5%
2023-10-26 23:59:54.910016	HEAT:	Waiting for 1 minute before next check
2023-10-26 23:59:57.964301	FAN -> 	Temperature=17.1°, Humidity=97.5%
2023-10-26 23:59:57.964629	FAN : 	No criteria activated - keeping fan off
2023-10-26 23:59:57.964752	FAN :	Waiting for 1 minute before next check
2023-10-27 00:00:55.435558	HEAT-> 	Temperature=17.1°, Humidity=97.4%
2023-10-27 00:00:55.435886	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:00:58.490200	FAN -> 	Temperature=17.1°, Humidity=97.6%
2023-10-27 00:00:58.490513	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:00:58.490622	FAN :	Waiting for 1 minute before next check
2023-10-27 00:01:55.961405	HEAT-> 	Temperature=17.1°, Humidity=97.4%
2023-10-27 00:01:55.961707	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:01:59.016219	FAN -> 	Temperature=17.1°, Humidity=97.4%
2023-10-27 00:01:59.016564	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:01:59.016691	FAN :	Waiting for 1 minute before next check
2023-10-27 00:02:56.487675	HEAT-> 	Temperature=17.1°, Humidity=97.4%
2023-10-27 00:02:56.487983	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:02:59.542242	FAN -> 	Temperature=17.1°, Humidity=97.4%
2023-10-27 00:02:59.542570	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:02:59.542695	FAN :	Waiting for 1 minute before next check
2023-10-27 00:03:57.013742	HEAT-> 	Temperature=17.1°, Humidity=97.4%
2023-10-27 00:03:57.014049	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:04:00.068300	FAN -> 	Temperature=17.1°, Humidity=97.5%
2023-10-27 00:04:00.068620	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:04:00.068745	FAN :	Waiting for 1 minute before next check
2023-10-27 00:04:57.539646	HEAT-> 	Temperature=17.1°, Humidity=97.4%
2023-10-27 00:04:57.539926	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:05:03.125518	FAN -> 	Temperature=17.1°, Humidity=97.4%
2023-10-27 00:05:03.125837	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:05:03.125961	FAN :	Waiting for 1 minute before next check
2023-10-27 00:05:58.065457	HEAT-> 	Temperature=17.1°, Humidity=97.4%
2023-10-27 00:05:58.065741	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:06:03.651565	FAN -> 	Temperature=17.1°, Humidity=97.4%
2023-10-27 00:06:03.651894	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:06:03.652021	FAN :	Waiting for 1 minute before next check
2023-10-27 00:06:58.591364	HEAT-> 	Temperature=17.1°, Humidity=97.4%
2023-10-27 00:06:58.592684	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:07:04.177582	FAN -> 	Temperature=17.1°, Humidity=97.4%
2023-10-27 00:07:04.179041	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:07:04.180087	FAN :	Waiting for 1 minute before next check
2023-10-27 00:07:59.119236	HEAT-> 	Temperature=17.1°, Humidity=97.4%
2023-10-27 00:07:59.120583	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:08:04.706548	FAN -> 	Temperature=17.1°, Humidity=97.3%
2023-10-27 00:08:04.707885	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:08:04.708901	FAN :	Waiting for 1 minute before next check
2023-10-27 00:08:59.647008	HEAT-> 	Temperature=17.1°, Humidity=97.2%
2023-10-27 00:08:59.648160	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:09:05.235444	FAN -> 	Temperature=17.1°, Humidity=97.3%
2023-10-27 00:09:05.236845	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:09:05.237869	FAN :	Waiting for 1 minute before next check
2023-10-27 00:10:00.174508	HEAT-> 	Temperature=17.1°, Humidity=97.3%
2023-10-27 00:10:00.175715	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:10:05.764360	FAN -> 	Temperature=17.1°, Humidity=97.3%
2023-10-27 00:10:05.765657	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:10:05.766673	FAN :	Waiting for 1 minute before next check
2023-10-27 00:11:00.702044	HEAT-> 	Temperature=17.1°, Humidity=97.3%
2023-10-27 00:11:00.703382	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:11:06.293189	FAN -> 	Temperature=17.1°, Humidity=97.3%
2023-10-27 00:11:06.294534	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:11:06.295596	FAN :	Waiting for 1 minute before next check
2023-10-27 00:12:01.229862	HEAT-> 	Temperature=17.1°, Humidity=97.3%
2023-10-27 00:12:01.231072	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:12:06.822364	FAN -> 	Temperature=17.1°, Humidity=97.3%
2023-10-27 00:12:06.823707	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:12:06.824723	FAN :	Waiting for 1 minute before next check
2023-10-27 00:13:01.756869	HEAT-> 	Temperature=17.1°, Humidity=97.3%
2023-10-27 00:13:01.757175	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:13:07.351076	FAN -> 	Temperature=17.1°, Humidity=97.3%
2023-10-27 00:13:07.352353	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:13:07.353372	FAN :	Waiting for 1 minute before next check
2023-10-27 00:14:02.282694	HEAT-> 	Temperature=17.2°, Humidity=97.2%
2023-10-27 00:14:02.283024	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:14:10.409712	FAN -> 	Temperature=17.1°, Humidity=97.2%
2023-10-27 00:14:10.411036	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:14:10.412072	FAN :	Waiting for 1 minute before next check
2023-10-27 00:15:02.808657	HEAT-> 	Temperature=17.1°, Humidity=97.3%
2023-10-27 00:15:02.808975	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:15:10.938452	FAN -> 	Temperature=17.1°, Humidity=97.2%
2023-10-27 00:15:10.939815	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:15:10.940835	FAN :	Waiting for 1 minute before next check
2023-10-27 00:16:03.334504	HEAT-> 	Temperature=17.2°, Humidity=97.3%
2023-10-27 00:16:03.335827	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:16:11.467256	FAN -> 	Temperature=17.2°, Humidity=97.1%
2023-10-27 00:16:11.467600	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:16:11.467724	FAN :	Waiting for 1 minute before next check
2023-10-27 00:17:03.862261	HEAT-> 	Temperature=17.2°, Humidity=97.1%
2023-10-27 00:17:03.863488	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:17:14.524385	FAN -> 	Temperature=17.2°, Humidity=97.1%
2023-10-27 00:17:14.524701	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:17:14.524824	FAN :	Waiting for 1 minute before next check
2023-10-27 00:18:04.389642	HEAT-> 	Temperature=17.2°, Humidity=97.1%
2023-10-27 00:18:04.390935	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:18:15.050311	FAN -> 	Temperature=17.2°, Humidity=97.1%
2023-10-27 00:18:15.050625	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:18:15.050748	FAN :	Waiting for 1 minute before next check
2023-10-27 00:19:04.917315	HEAT-> 	Temperature=17.2°, Humidity=97.1%
2023-10-27 00:19:04.917615	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:19:15.576292	FAN -> 	Temperature=17.2°, Humidity=97.1%
2023-10-27 00:19:15.576572	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:19:15.576680	FAN :	Waiting for 1 minute before next check
2023-10-27 00:20:05.443225	HEAT-> 	Temperature=17.2°, Humidity=97.1%
2023-10-27 00:20:05.444390	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:20:18.633374	FAN -> 	Temperature=17.2°, Humidity=97.1%
2023-10-27 00:20:18.633688	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:20:18.633810	FAN :	Waiting for 1 minute before next check
2023-10-27 00:21:08.501240	HEAT-> 	Temperature=17.2°, Humidity=97.1%
2023-10-27 00:21:08.502525	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:21:19.159429	FAN -> 	Temperature=17.2°, Humidity=97.1%
2023-10-27 00:21:19.160749	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:21:19.161759	FAN :	Waiting for 1 minute before next check
2023-10-27 00:22:09.028954	HEAT-> 	Temperature=17.2°, Humidity=97.1%
2023-10-27 00:22:09.030119	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:22:19.688072	FAN -> 	Temperature=17.2°, Humidity=96.9%
2023-10-27 00:22:19.688357	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:22:19.688464	FAN :	Waiting for 1 minute before next check
2023-10-27 00:23:09.556385	HEAT-> 	Temperature=17.2°, Humidity=97.0%
2023-10-27 00:23:09.557726	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:23:20.213938	FAN -> 	Temperature=17.2°, Humidity=96.9%
2023-10-27 00:23:20.214256	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:23:20.214379	FAN :	Waiting for 1 minute before next check
2023-10-27 00:24:10.084067	HEAT-> 	Temperature=17.2°, Humidity=96.9%
2023-10-27 00:24:10.085075	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:24:20.739865	FAN -> 	Temperature=17.2°, Humidity=96.9%
2023-10-27 00:24:20.740993	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:24:20.741871	FAN :	Waiting for 1 minute before next check
2023-10-27 00:25:10.611290	HEAT-> 	Temperature=17.2°, Humidity=97.0%
2023-10-27 00:25:10.612575	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:25:21.268065	FAN -> 	Temperature=17.2°, Humidity=97.0%
2023-10-27 00:25:21.269359	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:25:21.270371	FAN :	Waiting for 1 minute before next check
2023-10-27 00:26:11.138926	HEAT-> 	Temperature=17.2°, Humidity=96.9%
2023-10-27 00:26:11.140261	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:26:21.796711	FAN -> 	Temperature=17.2°, Humidity=96.9%
2023-10-27 00:26:21.798009	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:26:21.799047	FAN :	Waiting for 1 minute before next check
2023-10-27 00:27:11.666607	HEAT-> 	Temperature=17.2°, Humidity=96.9%
2023-10-27 00:27:11.668083	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:27:22.325335	FAN -> 	Temperature=17.2°, Humidity=96.8%
2023-10-27 00:27:22.326633	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:27:22.327690	FAN :	Waiting for 1 minute before next check
2023-10-27 00:28:12.194421	HEAT-> 	Temperature=17.2°, Humidity=96.9%
2023-10-27 00:28:12.195604	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:28:22.854043	FAN -> 	Temperature=17.2°, Humidity=96.8%
2023-10-27 00:28:22.855383	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:28:22.856412	FAN :	Waiting for 1 minute before next check
2023-10-27 00:29:12.721819	HEAT-> 	Temperature=17.2°, Humidity=96.8%
2023-10-27 00:29:12.723161	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:29:23.382725	FAN -> 	Temperature=17.2°, Humidity=96.9%
2023-10-27 00:29:23.384085	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:29:23.385107	FAN :	Waiting for 1 minute before next check
2023-10-27 00:30:13.249590	HEAT-> 	Temperature=17.2°, Humidity=96.8%
2023-10-27 00:30:13.250888	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:30:23.911476	FAN -> 	Temperature=17.2°, Humidity=96.8%
2023-10-27 00:30:23.912794	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:30:23.913807	FAN :	Waiting for 1 minute before next check
2023-10-27 00:31:13.777308	HEAT-> 	Temperature=17.2°, Humidity=96.8%
2023-10-27 00:31:13.778626	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:31:24.440238	FAN -> 	Temperature=17.2°, Humidity=96.7%
2023-10-27 00:31:24.441559	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:31:24.442582	FAN :	Waiting for 1 minute before next check
2023-10-27 00:32:14.305068	HEAT-> 	Temperature=17.2°, Humidity=96.6%
2023-10-27 00:32:14.306365	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:32:24.968984	FAN -> 	Temperature=17.2°, Humidity=96.7%
2023-10-27 00:32:24.970284	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:32:24.971341	FAN :	Waiting for 1 minute before next check
2023-10-27 00:33:14.832864	HEAT-> 	Temperature=17.2°, Humidity=96.7%
2023-10-27 00:33:14.834173	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:33:25.497689	FAN -> 	Temperature=17.2°, Humidity=96.7%
2023-10-27 00:33:25.498014	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:33:25.498138	FAN :	Waiting for 1 minute before next check
2023-10-27 00:34:15.360616	HEAT-> 	Temperature=17.2°, Humidity=96.6%
2023-10-27 00:34:15.361915	HEAT:	Waiting for 1 minute before next check
2023-10-27 00:34:26.023664	FAN -> 	Temperature=17.2°, Humidity=96.7%
2023-10-27 00:34:26.023970	FAN : 	No criteria activated - keeping fan off
2023-10-27 00:34:26.024093	FAN :	Waiting for 1 minute before next check
2023-10-27 00:35:15.888308	HEAT-> 	Temperature=17.2°, Humidity=96.7%
2023-10-27 00:35:15.889612	HEAT:	Waiting for 1 minute before next check
